Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
pilot10, Male, 15, Maraca_01, -27.05, 3.36, -5.31, -27.05, -0.7990353, 7.354944, 13.33036, 4.97, 2.4959896, -2.4740104, Microphone_01, -51, 4.48, 3.09, -51, 2.510695, -3.905753, 7.26765, 8.25, 1.6627085, -6.5872915, Headphones_01, -1.78, 0.086, -2.86, -1.780002, 1.369387, 4.133996, 7.110772, 1.73, 0.9752796, -0.7547204
pilot10, Male, 16, Phonograph_01, -51, 0.086, 3.09, -51, 1.85128, -1.762662, 5.163772, 8.25, 0.5916935, -7.6583065, Radio_01, -1.78, 1.16, -5.31, -1.780001, 2.079521, 0.9003474, 6.278051, 1.73, 2.0805196, 0.3505196, PanFlute_01, -27.05, 2.69, -2.86, -27.05, 0.8241254, 4.539776, 7.631394, 4.97, 1.79065, -3.17935
pilot10, Male, 17, SingleDrum_01, -1.78, 0.086, 5.94, -1.78, -0.4313135, -3.512631, 9.466776, 1.73, 1.4218769, -0.3081231, Tambourine_01, -27.05, 2.69, 5.94, -27.05, 2.764311, 4.438329, 1.503509, 4.97, 1.5827237, -3.3872763, Tuba_01, -51, 0.086, -5.41, -51, 2.003446, -3.335108, 2.825204, 8.25, 1.4729328, -6.7770672
pilot10, Male, 18, Trumpet_01, -1.78, 2.48, -2.86, -1.780002, -1.724778, 7.050622, 10.76571, 1.73, 1.2610405, -0.4689595, CongaDrum_02, -51, 1.16, 5.94, -51, -0.02550912, -3.411194, 9.426042, 8.25, 0.9395116, -7.3104884, Casette_01, -27.05, 1.16, -5.31, -27.05, -0.08890319, -2.206485, 3.34538, 4.97, 1.4714722, -3.4985278
pilot10, Male, 19, Harmonica_01, -51, 3.02, 3.09, -51, -1.953031, 6.505359, 6.032886, 8.25, 0.5260218, -7.7239782, DoubleBass_01, -1.78, 2.25, 5.94, -1.78, 1.863939, -3.144883, 9.093081, 1.73, 1.1820926, -0.5479074, Gong_01, -27.05, 1.16, -5.31, -27.05, 2.40924, -4.996292, 1.288027, 4.97, 1.264397, -3.705603
pilot10, Male, 20, Harp_01, -1.78, 4.48, 4.55, -1.780002, 1.331341, 5.237242, 3.222787, 1.73, 1.6630921, -0.0669079000000001, Saxophone_01, -27.05, 0.086, -4.11, -27.05, 3.157418, -2.333294, 3.54828, 4.97, 1.997961, -2.972039, CongaDrum_03, -51, 1.16, -5.31, -51, 3.563219, -5.186536, 2.406389, 8.25, 1.2603901, -6.9896099
pilot10, Male, 21, RacoonPlush_01 (1), -1.78, 4.48, -5.31, -1.78, 1.787857, -3.766251, 3.103353, 1.73, 2.04558, 0.31558, IceCream02 (1), -27.05, 1.16, -5.31, -27.05, 0.8748472, 6.34047, 11.65396, 4.97, 2.0310362, -2.9389638, Avocado_01 (1), -51, 4.48, 3.09, -51, 0.519766, 1.103248, 4.430648, 8.25, 1.7740779, -6.4759221
pilot10, Male, 22, BalloonFlower_01 (1), -51, 1.16, 5.94, -51, 2.130261, -1.724619, 7.725787, 8.25, 2.0146756, -6.2353244, BalloonDog_01 (1), -27.05, 0.086, 4.55, -27.05, -0.2917995, 4.565138, 0.3781027, 4.97, 0.1445679, -4.8254321, Binocular_01 (1), -1.78, 3.36, -5.31, -1.78, 2.041475, -5.300648, 1.318558, 1.73, 1.7615389, 0.0315388999999999
pilot10, Male, 23, Panda_01 (1), -27.05, 0.086, -5.4, -27.05, 1.825922, 2.929296, 8.509084, 4.97, 0.6066441, -4.3633559, Bucket (1), -51, 4.48, 4.55, -51, 0.1393418, 7.532522, 5.266569, 8.25, 1.6473197, -6.6026803, Starfish (1), -1.78, 2.25, 3.09, -1.78, 3.106681, -3.436545, 6.582529, 1.73, 3.1196953, 1.3896953
pilot10, Male, 24, IceCream_01 (1), -51, 4.48, -4.11, -51, 2.561417, -10.77886, 6.939357, 8.25, 1.2484478, -7.0015522, BadmintonBall (1), -27.05, 4.48, 5.94, -27.05, 2.269751, 0.02536026, 6.314125, 4.97, 2.9112807, -2.0587193, Case01 (1), -1.78, 0.086, 5.94, -1.780002, 1.648367, 2.73909, 3.561856, 1.73, 2.3015669, 0.5715669
pilot10, Male, 25, Camera_01 (1), -51, 3.02, 5.94, -51, 2.954526, 1.394911, 4.545561, 8.25, 1.2477712, -7.0022288, Book (1), -1.78, 2.25, 3.09, -1.78, 3.043274, -3.487269, 6.624934, 1.73, 1.4700964, -0.2599036, Watermelon (1), -27.05, 0.086, -2.86, -27.05, 1.952726, 3.905729, 7.018529, 4.97, 1.0541331, -3.9158669
pilot10, Male, 26, Football_01 (1), -27.05, 4.48, -4.11, -27.05, -0.0635426, 1.76265, 7.42508, 4.97, 2.1247055, -2.8452945, Alpaca_01 (2), -51, 0.086, 5.94, -51, 1.103098, -3.335108, 9.330709, 8.25, 2.2551298, -5.9948702, Ship (1), -1.78, 4.48, 5.94, -1.78, 2.700888, -3.778931, 9.880428, 1.73, 1.5521621, -0.1778379
pilot10, Male, 27, CoconutOpen (1), -1.78, 1.16, -5.31, -1.780001, 2.421908, -2.447429, 3.128374, 1.73, 1.759008, 0.0290079999999999, PiggyBank_01 (1), -27.05, 3.36, -5.31, -27.05, 1.153826, 4.19739, 9.760003, 4.97, 2.2229133, -2.7470867, Sunglasses (1), -51, 0.086, 4.55, -51, 0.7226633, 3.0054, 1.670667, 8.25, 1.6457377, -6.6042623
pilot10, Male, 28, Controller_01 (1), -1.78, 0.086, -4.11, -1.780002, 0.5451241, 2.675685, 6.801199, 1.73, 1.6634549, -0.0665451000000001, Ship_01 (1), -27.05, 2.69, 5.94, -27.05, 2.193668, -2.231847, 8.186905, 4.97, 1.9359968, -3.0340032, WoodenClock_01 (1), -51, 3.36, -5.31, -51, 1.407439, 5.605007, 11.08828, 8.25, 2.5089761, -5.7410239
pilot10, Male, 29, Camera (1), -1.78, 0.086, -2.86, -1.780001, 1.825902, 2.269893, 5.416924, 1.73, 1.9814454, 0.2514454, Bird_01 (1), -51, 3.36, 5.94, -51, 1.407439, -4.159373, 10.28639, 8.25, 1.4859465, -6.7640535, WateringCan_01 (1), -27.05, 4.48, 4.55, -27.05, -0.3932426, 4.032537, 4.900639, 4.97, 1.8057658, -3.1642342
pilot10, Male, 30, Bag (1), -51, 4.48, -4.11, -51, 3.347636, -3.98184, 1.139594, 8.25, 1.9993411, -6.2506589, Pineapple (1), -1.78, 2.48, -5.31, -1.780002, 0.6085212, 3.474587, 8.981726, 1.73, 2.1270441, 0.3970441, SeaHorse_01 (1), -27.05, 0.086, 5.94, -27.05, 2.016133, -5.402082, 11.50514, 4.97, 2.0789585, -2.8910415
pilot10, Male, 
