Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
pilot3, Male, 1, Car_03, -27.05, 4.48, 4.55, -27.05, 4.133854, -2.81517, 7.3733, 4.97, 4.1593312, -0.8106688, Ball_01, -51, 3.02, -2.86, -51, 0.9128855, 3.931113, 7.110496, 8.25, 2.5263077, -5.7236923, Abacus_01, -1.78, 0.086, 4.55, -1.780002, 3.905584, 3.157562, 4.065477, 1.73, 4.3361444, 2.6061444
pilot3, Male, 2, Doll_01, -27.05, 0.086, -5.4, -27.05, 0.139354, -5.807872, 0.411347, 4.97, 5.5197543, 0.5497543, Boat_01, -51, 3.02, 3.09, -51, 5.186389, 5.50356, 3.243226, 8.25, 7.9839406, -0.266059400000001, Bee_01, -1.78, 3.36, -5.31, -1.78, 4.209924, -3.601398, 1.908322, 1.73, 3.2943592, 1.5643592
pilot3, Male, 3, Basketball_01, -1.78, 2.48, -5.31, -1.78, 2.510676, -3.766251, 1.544054, 1.73, 2.8315605, 1.1015605, Car_02, -27.05, 1.16, 5.94, -27.05, 1.813236, 4.159348, 1.896692, 4.97, 5.8220923, 0.8520923, Boomerang_01, -51, 3.02, 3.09, -51, 3.715384, 3.119529, 0.6960112, 8.25, 8.686618, 0.436617999999999
pilot3, Male, 4, Ball_02, -51, 4.48, 5.94, -51, 4.374799, 3.88039, 2.062295, 8.25, 6.0320193, -2.2179807, Bucket_01, -1.78, 0.086, 3.09, -1.780002, 0.3041809, 5.630352, 2.549704, 1.73, 2.0314216, 0.3014216, Bunny_01, -27.05, 0.086, -2.86, -27.05, 1.44549, -3.335088, 1.440112, 4.97, 3.6618452, -1.3081548
pilot3, Male, 5, Car_04, -1.78, 4.48, -2.86, -1.78, 4.501589, -3.981827, 1.122035, 1.73, 3.102371, 1.372371, Dinosaur_01, -51, 4.48, -5.417, -51, 4.286031, 4.932914, 10.35173, 8.25, 8.1909745, -0.0590255000000006, Darts_01, -27.05, 3.36, 5.94, -27.05, 3.487119, 3.182914, 2.760015, 4.97, 5.0704805, 0.1004805
pilot3, Male, 6, Fish_01, -51, 1.16, -5.31, -51, 0.9636077, -6.289784, 0.9992735, 8.25, 7.1348021, -1.1151979, DumpTruck_01, -27.05, 4.48, 5.94, -27.05, 5.008837, 6.175617, 0.5789505, 4.97, 5.2469048, 0.2769048, Doll_03, -1.78, 1.16, 5.94, -1.780002, 0.4056344, 6.353168, 0.8601018, 1.73, 2.6387045, 0.9087045
pilot3, Male, 7, Horse_01, -51, 3.36, 5.94, -51, 4.907399, 6.188334, 1.567199, 8.25, 7.1669466, -1.0830534, Doll_02, -27.05, 1.16, 5.94, -27.05, 2.003448, 4.298837, 1.845215, 4.97, 4.6367983, -0.3332017, Helicopter_01, -1.78, 0.086, -5.36, -1.78, 0.4436709, -5.376734, 0.3580621, 1.73, 2.6076195, 0.8776195
pilot3, Male, 8, Plane_01, -51, 0.086, 5.94, -51, 0.4183222, 5.14849, 0.8584437, 8.25, 7.664505, -0.585495000000001, Kite_01, -27.05, 4.48, 3.09, -27.05, 3.791468, 3.373128, 0.7444713, 4.97, 4.6391277, -0.3308723, Car_01, -1.78, 2.48, -5.31, -1.78, 3.043274, -5.528906, 0.6043153, 1.73, 3.4876036, 1.7576036
pilot3, Male, 9, Robot_01, -1.78, 4.48, -2.86, -1.78, 5.313166, -2.84054, 0.8333933, 1.73, 1.9508027, 0.2208027, Shield_02, -27.05, 4.48, 4.55, -27.05, 4.247983, 3.24632, 1.324166, 4.97, 4.2851996, -0.6848004, Rocket_01, -51, 0.086, 5.94, -51, 0.6212196, 4.62857, 1.416443, 8.25, 7.9366128, -0.3133872
pilot3, Male, 10, Watergun_01, -27.05, 2.69, -5.4, -27.05, 3.132057, -3.969135, 1.497594, 4.97, 5.0225581, 0.0525580999999997, RollerSkate_01, -1.78, 1.16, 5.94, -1.780002, 2.510676, 3.601396, 2.700628, 1.73, 2.5612376, 0.8312376, RubberDuck_01, -51, 4.48, -2.86, -51, 1.03969, -3.106849, 3.449154, 8.25, 6.9894659, -1.2605341
